m1,mut3,cG,cuG_33,cqu1_1133,cuu_3333,cqq1_3333,cqd1_3311,cqu8_3311,cqu8_1133,cHBox,cHB,cHG,cuH_33,cHq1_33
1.80,1.80,7.2e-06,-4.9e-06,-3.0e-08,-3.7e-06,-2.0e-06,9.0e-08,-4.8e-05,-3.6e-05,-2.9e-04,2.3e-05,7.5e-05,-2.0e-05,3.9e-06
1.80,1.90,6.5e-06,-4.6e-06,-2.4e-08,-3.3e-06,-1.8e-06,8.1e-08,-4.3e-05,-3.2e-05,-2.6e-04,2.0e-05,6.8e-05,-1.8e-05,3.6e-06
1.80,2.00,5.9e-06,-4.3e-06,-1.9e-08,-3.0e-06,-1.6e-06,7.3e-08,-3.9e-05,-2.9e-05,-2.3e-04,1.8e-05,6.1e-05,-1.7e-05,3.4e-06
1.80,2.10,5.3e-06,-4.0e-06,-1.6e-08,-2.7e-06,-1.5e-06,6.6e-08,-3.5e-05,-2.6e-05,-2.1e-04,1.7e-05,5.5e-05,-1.6e-05,3.2e-06
1.80,2.20,4.8e-06,-3.8e-06,-1.3e-08,-2.4e-06,-1.3e-06,6.1e-08,-3.2e-05,-2.3e-05,-1.9e-04,1.5e-05,5.0e-05,-1.4e-05,3.0e-06
1.80,2.30,4.4e-06,-3.6e-06,-1.0e-08,-2.2e-06,-1.2e-06,5.5e-08,-2.9e-05,-2.1e-05,-1.7e-04,1.4e-05,4.6e-05,-1.3e-05,2.9e-06
1.80,2.40,4.1e-06,-3.4e-06,-8.2e-09,-2.0e-06,-1.1e-06,5.1e-08,-2.7e-05,-1.9e-05,-1.6e-04,1.3e-05,4.2e-05,-1.2e-05,2.7e-06
1.80,2.50,3.7e-06,-3.2e-06,-6.6e-09,-1.9e-06,-1.0e-06,4.7e-08,-2.5e-05,-1.8e-05,-1.5e-04,1.2e-05,3.9e-05,-1.2e-05,2.5e-06
1.80,2.60,3.5e-06,-3.0e-06,-5.2e-09,-1.8e-06,-9.6e-07,4.3e-08,-2.3e-05,-1.6e-05,-1.4e-04,1.1e-05,3.6e-05,-1.1e-05,2.4e-06
1.80,2.70,3.2e-06,-2.9e-06,-4.1e-09,-1.6e-06,-8.9e-07,4.0e-08,-2.1e-05,-1.5e-05,-1.3e-04,1.0e-05,3.3e-05,-1.0e-05,2.3e-06
1.90,0.30,2.6e-04,-1.5e-05,-5.4e-06,-2.5e-04,-7.2e-05,3.3e-06,-1.7e-03,-1.6e-03,-1.0e-02,8.2e-04,2.7e-03,-1.6e-04,7.2e-06
1.90,0.40,1.5e-04,-1.4e-05,-2.7e-06,-1.3e-04,-4.1e-05,1.8e-06,-9.7e-04,-8.9e-04,-5.8e-03,4.6e-04,1.5e-03,-1.2e-04,8.4e-06
1.90,0.50,9.4e-05,-1.3e-05,-1.6e-06,-7.9e-05,-2.6e-05,1.2e-06,-6.2e-04,-5.6e-04,-3.7e-03,2.9e-04,9.8e-04,-1.0e-04,8.5e-06
1.90,0.60,6.5e-05,-1.2e-05,-1.0e-06,-5.2e-05,-1.8e-05,8.1e-07,-4.3e-04,-3.8e-04,-2.6e-03,2.0e-04,6.8e-04,-8.4e-05,8.2e-06
1.90,0.70,4.8e-05,-1.1e-05,-6.7e-07,-3.6e-05,-1.3e-05,6.0e-07,-3.2e-04,-2.7e-04,-1.9e-03,1.5e-04,5.0e-04,-7.1e-05,7.8e-06
1.90,0.80,3.7e-05,-9.8e-06,-4.6e-07,-2.6e-05,-1.0e-05,4.6e-07,-2.4e-04,-2.1e-04,-1.4e-03,1.2e-04,3.8e-04,-6.1e-05,7.3e-06
1.90,0.90,2.9e-05,-9.0e-06,-3.3e-07,-1.9e-05,-8.0e-06,3.6e-07,-1.9e-04,-1.6e-04,-1.1e-03,9.1e-05,3.0e-04,-5.2e-05,6.8e-06
1.90,1.00,2.3e-05,-8.3e-06,-2.4e-07,-1.5e-05,-6.5e-06,2.9e-07,-1.5e-04,-1.3e-04,-9.3e-04,7.4e-05,2.4e-04,-4.6e-05,6.4e-06
1.90,1.10,1.9e-05,-7.7e-06,-1.8e-07,-1.2e-05,-5.4e-06,2.4e-07,-1.3e-04,-1.0e-04,-7.6e-04,6.1e-05,2.0e-04,-4.0e-05,5.9e-06
1.90,1.20,1.6e-05,-7.1e-06,-1.4e-07,-9.6e-06,-4.5e-06,2.0e-07,-1.1e-04,-8.6e-05,-6.4e-04,5.1e-05,1.7e-04,-3.6e-05,5.5e-06
1.90,1.30,1.4e-05,-6.6e-06,-1.1e-07,-7.9e-06,-3.9e-06,1.7e-07,-9.1e-05,-7.2e-05,-5.5e-04,4.4e-05,1.4e-04,-3.2e-05,5.2e-06
1.90,1.40,1.2e-05,-6.2e-06,-8.3e-08,-6.7e-06,-3.3e-06,1.5e-07,-7.9e-05,-6.2e-05,-4.7e-04,3.8e-05,1.2e-04,-2.9e-05,4.8e-06
1.90,1.50,1.0e-05,-5.7e-06,-6.5e-08,-5.7e-06,-2.9e-06,1.3e-07,-6.9e-05,-5.3e-05,-4.1e-04,3.3e-05,1.1e-04,-2.6e-05,4.5e-06
1.90,1.60,9.1e-06,-5.4e-06,-5.2e-08,-4.9e-06,-2.5e-06,1.1e-07,-6.0e-05,-4.6e-05,-3.6e-04,2.9e-05,9.5e-05,-2.4e-05,4.2e-06
1.90,1.70,8.1e-06,-5.0e-06,-4.2e-08,-4.3e-06,-2.3e-06,1.0e-07,-5.3e-05,-4.1e-05,-3.2e-04,2.5e-05,8.4e-05,-2.1e-05,3.9e-06
1.90,1.80,7.2e-06,-4.7e-06,-3.3e-08,-3.7e-06,-2.0e-06,9.0e-08,-4.8e-05,-3.6e-05,-2.9e-04,2.3e-05,7.5e-05,-2.0e-05,3.7e-06
1.90,1.90,6.5e-06,-4.4e-06,-2.7e-08,-3.3e-06,-1.8e-06,8.1e-08,-4.3e-05,-3.2e-05,-2.6e-04,2.0e-05,6.8e-05,-1.8e-05,3.5e-06
1.90,2.00,5.9e-06,-4.1e-06,-2.2e-08,-3.0e-06,-1.6e-06,7.3e-08,-3.9e-05,-2.9e-05,-2.3e-04,1.8e-05,6.1e-05,-1.7e-05,3.3e-06
1.90,2.10,5.3e-06,-3.9e-06,-1.8e-08,-2.7e-06,-1.5e-06,6.6e-08,-3.5e-05,-2.6e-05,-2.1e-04,1.7e-05,5.5e-05,-1.5e-05,3.1e-06
1.90,2.20,4.8e-06,-3.7e-06,-1.5e-08,-2.4e-06,-1.3e-06,6.1e-08,-3.2e-05,-2.3e-05,-1.9e-04,1.5e-05,5.0e-05,-1.4e-05,2.9e-06
1.90,2.30,4.4e-06,-3.5e-06,-1.2e-08,-2.2e-06,-1.2e-06,5.5e-08,-2.9e-05,-2.1e-05,-1.7e-04,1.4e-05,4.6e-05,-1.3e-05,2.7e-06
1.90,2.40,4.1e-06,-3.3e-06,-9.7e-09,-2.0e-06,-1.1e-06,5.1e-08,-2.7e-05,-2.0e-05,-1.6e-04,1.3e-05,4.2e-05,-1.2e-05,2.6e-06
1.90,2.50,3.7e-06,-3.1e-06,-7.9e-09,-1.9e-06,-1.0e-06,4.7e-08,-2.5e-05,-1.8e-05,-1.5e-04,1.2e-05,3.9e-05,-1.1e-05,2.5e-06
1.90,2.60,3.5e-06,-2.9e-06,-6.4e-09,-1.7e-06,-9.6e-07,4.3e-08,-2.3e-05,-1.6e-05,-1.4e-04,1.1e-05,3.6e-05,-1.1e-05,2.3e-06
1.90,2.70,3.2e-06,-2.8e-06,-5.2e-09,-1.6e-06,-8.9e-07,4.0e-08,-2.1e-05,-1.5e-05,-1.3e-04,1.0e-05,3.3e-05,-1.0e-05,2.2e-06
2.00,0.30,2.6e-04,-1.4e-05,-5.4e-06,-2.6e-04,-7.2e-05,3.3e-06,-1.7e-03,-1.6e-03,-1.0e-02,8.2e-04,2.7e-03,-1.5e-04,6.2e-06
2.00,0.40,1.5e-04,-1.3e-05,-2.8e-06,-1.3e-04,-4.1e-05,1.8e-06,-9.7e-04,-9.0e-04,-5.8e-03,4.6e-04,1.5e-03,-1.2e-04,7.5e-06
2.00,0.50,9.4e-05,-1.2e-05,-1.6e-06,-8.1e-05,-2.6e-05,1.2e-06,-6.2e-04,-5.6e-04,-3.7e-03,2.9e-04,9.8e-04,-9.5e-05,7.7e-06
2.00,0.60,6.5e-05,-1.1e-05,-1.0e-06,-5.3e-05,-1.8e-05,8.1e-07,-4.3e-04,-3.8e-04,-2.6e-03,2.0e-04,6.8e-04,-8.0e-05,7.5e-06
2.00,0.70,4.8e-05,-9.9e-06,-6.9e-07,-3.6e-05,-1.3e-05,6.0e-07,-3.2e-04,-2.8e-04,-1.9e-03,1.5e-04,5.0e-04,-6.8e-05,7.2e-06
2.00,0.80,3.7e-05,-9.1e-06,-4.8e-07,-2.6e-05,-1.0e-05,4.6e-07,-2.4e-04,-2.1e-04,-1.4e-03,1.2e-04,3.8e-04,-5.8e-05,6.8e-06
2.00,0.90,2.9e-05,-8.4e-06,-3.5e-07,-2.0e-05,-8.0e-06,3.6e-07,-1.9e-04,-1.6e-04,-1.1e-03,9.1e-05,3.0e-04,-5.0e-05,6.4e-06
2.00,1.00,2.3e-05,-7.8e-06,-2.6e-07,-1.5e-05,-6.5e-06,2.9e-07,-1.5e-04,-1.3e-04,-9.3e-04,7.4e-05,2.4e-04,-4.4e-05,6.0e-06
2.00,1.10,1.9e-05,-7.3e-06,-1.9e-07,-1.2e-05,-5.4e-06,2.4e-07,-1.3e-04,-1.0e-04,-7.6e-04,6.1e-05,2.0e-04,-3.9e-05,5.6e-06
2.00,1.20,1.6e-05,-6.7e-06,-1.5e-07,-9.8e-06,-4.5e-06,2.0e-07,-1.1e-04,-8.7e-05,-6.4e-04,5.1e-05,1.7e-04,-3.5e-05,5.2e-06
2.00,1.30,1.4e-05,-6.3e-06,-1.1e-07,-8.1e-06,-3.9e-06,1.7e-07,-9.1e-05,-7.3e-05,-5.5e-04,4.4e-05,1.4e-04,-3.1e-05,4.9e-06
2.00,1.40,1.2e-05,-5.8e-06,-8.9e-08,-6.8e-06,-3.3e-06,1.5e-07,-7.9e-05,-6.2e-05,-4.7e-04,3.8e-05,1.2e-04,-2.8e-05,4.6e-06
2.00,1.50,1.0e-05,-5.5e-06,-7.1e-08,-5.8e-06,-2.9e-06,1.3e-07,-6.9e-05,-5.4e-05,-4.1e-04,3.3e-05,1.1e-04,-2.5e-05,4.3e-06
2.00,1.60,9.1e-06,-5.1e-06,-5.6e-08,-5.0e-06,-2.5e-06,1.1e-07,-6.0e-05,-4.7e-05,-3.6e-04,2.9e-05,9.5e-05,-2.3e-05,4.0e-06
2.00,1.70,8.1e-06,-4.8e-06,-4.5e-08,-4.3e-06,-2.3e-06,1.0e-07,-5.3e-05,-4.1e-05,-3.2e-04,2.5e-05,8.4e-05,-2.1e-05,3.8e-06
2.00,1.80,7.2e-06,-4.5e-06,-3.7e-08,-3.8e-06,-2.0e-06,9.0e-08,-4.8e-05,-3.6e-05,-2.9e-04,2.3e-05,7.5e-05,-1.9e-05,3.5e-06
2.00,1.90,6.5e-06,-4.2e-06,-3.0e-08,-3.4e-06,-1.8e-06,8.1e-08,-4.3e-05,-3.2e-05,-2.6e-04,2.0e-05,6.8e-05,-1.8e-05,3.3e-06
2.00,2.00,5.9e-06,-4.0e-06,-2.4e-08,-3.0e-06,-1.6e-06,7.3e-08,-3.9e-05,-2.9e-05,-2.3e-04,1.8e-05,6.1e-05,-1.6e-05,3.1e-06
2.00,2.10,5.3e-06,-3.7e-06,-2.0e-08,-2.7e-06,-1.5e-06,6.6e-08,-3.5e-05,-2.6e-05,-2.1e-04,1.7e-05,5.5e-05,-1.5e-05,3.0e-06
2.00,2.20,4.8e-06,-3.5e-06,-1.6e-08,-2.5e-06,-1.3e-06,6.1e-08,-3.2e-05,-2.4e-05,-1.9e-04,1.5e-05,5.0e-05,-1.4e-05,2.8e-06
2.00,2.30,4.4e-06,-3.3e-06,-1.4e-08,-2.2e-06,-1.2e-06,5.5e-08,-2.9e-05,-2.1e-05,-1.7e-04,1.4e-05,4.6e-05,-1.3e-05,2.6e-06
2.00,2.40,4.1e-06,-3.2e-06,-1.1e-08,-2.0e-06,-1.1e-06,5.1e-08,-2.7e-05,-2.0e-05,-1.6e-04,1.3e-05,4.2e-05,-1.2e-05,2.5e-06
2.00,2.50,3.7e-06,-3.0e-06,-9.2e-09,-1.9e-06,-1.0e-06,4.7e-08,-2.5e-05,-1.8e-05,-1.5e-04,1.2e-05,3.9e-05,-1.1e-05,2.4e-06
2.00,2.60,3.5e-06,-2.8e-06,-7.6e-09,-1.7e-06,-9.6e-07,4.3e-08,-2.3e-05,-1.7e-05,-1.4e-04,1.1e-05,3.6e-05,-1.0e-05,2.3e-06
2.00,2.70,3.2e-06,-2.7e-06,-6.2e-09,-1.6e-06,-8.9e-07,4.0e-08,-2.1e-05,-1.5e-05,-1.3e-04,1.0e-05,3.3e-05,-9.8e-06,2.1e-06
2.10,0.30,2.6e-04,-1.2e-05,-5.5e-06,-2.6e-04,-7.2e-05,3.3e-06,-1.7e-03,-1.6e-03,-1.0e-02,8.2e-04,2.7e-03,-1.4e-04,5.2e-06
2.10,0.40,1.5e-04,-1.2e-05,-2.8e-06,-1.4e-04,-4.1e-05,1.8e-06,-9.7e-04,-9.0e-04,-5.8e-03,4.6e-04,1.5e-03,-1.1e-04,6.7e-06
2.10,0.50,9.4e-05,-1.1e-05,-1.7e-06,-8.2e-05,-2.6e-05,1.2e-06,-6.2e-04,-5.6e-04,-3.7e-03,2.9e-04,9.8e-04,-9.0e-05,7.0e-06
2.10,0.60,6.5e-05,-9.9e-06,-1.1e-06,-5.4e-05,-1.8e-05,8.1e-07,-4.3e-04,-3.8e-04,-2.6e-03,2.0e-04,6.8e-04,-7.6e-05,6.9e-06
2.10,0.70,4.8e-05,-9.2e-06,-7.1e-07,-3.7e-05,-1.3e-05,6.0e-07,-3.2e-04,-2.8e-04,-1.9e-03,1.5e-04,5.0e-04,-6.5e-05,6.6e-06
2.10,0.80,3.7e-05,-8.5e-06,-5.0e-07,-2.7e-05,-1.0e-05,4.6e-07,-2.4e-04,-2.1e-04,-1.4e-03,1.2e-04,3.8e-04,-5.6e-05,6.3e-06
2.10,0.90,2.9e-05,-7.9e-06,-3.6e-07,-2.0e-05,-8.0e-06,3.6e-07,-1.9e-04,-1.6e-04,-1.1e-03,9.1e-05,3.0e-04,-4.9e-05,5.9e-06
2.10,1.00,2.3e-05,-7.4e-06,-2.7e-07,-1.6e-05,-6.5e-06,2.9e-07,-1.5e-04,-1.3e-04,-9.3e-04,7.4e-05,2.4e-04,-4.3e-05,5.6e-06
2.10,1.10,1.9e-05,-6.8e-06,-2.0e-07,-1.2e-05,-5.4e-06,2.4e-07,-1.3e-04,-1.1e-04,-7.6e-04,6.1e-05,2.0e-04,-3.8e-05,5.2e-06
2.10,1.20,1.6e-05,-6.4e-06,-1.5e-07,-1.0e-05,-4.5e-06,2.0e-07,-1.1e-04,-8.7e-05,-6.4e-04,5.1e-05,1.7e-04,-3.4e-05,4.9e-06
2.10,1.30,1.4e-05,-5.9e-06,-1.2e-07,-8.3e-06,-3.9e-06,1.7e-07,-9.1e-05,-7.3e-05,-5.5e-04,4.4e-05,1.4e-04,-3.0e-05,4.6e-06
2.10,1.40,1.2e-05,-5.6e-06,-9.5e-08,-6.9e-06,-3.3e-06,1.5e-07,-7.9e-05,-6.3e-05,-4.7e-04,3.8e-05,1.2e-04,-2.7e-05,4.3e-06
2.10,1.50,1.0e-05,-5.2e-06,-7.6e-08,-5.9e-06,-2.9e-06,1.3e-07,-6.9e-05,-5.4e-05,-4.1e-04,3.3e-05,1.1e-04,-2.5e-05,4.1e-06
2.10,1.60,9.1e-06,-4.9e-06,-6.1e-08,-5.0e-06,-2.5e-06,1.1e-07,-6.0e-05,-4.7e-05,-3.6e-04,2.9e-05,9.5e-05,-2.2e-05,3.8e-06
2.10,1.70,8.1e-06,-4.6e-06,-4.9e-08,-4.4e-06,-2.3e-06,1.0e-07,-5.3e-05,-4.1e-05,-3.2e-04,2.5e-05,8.4e-05,-2.0e-05,3.6e-06
2.10,1.80,7.2e-06,-4.3e-06,-4.0e-08,-3.8e-06,-2.0e-06,9.0e-08,-4.8e-05,-3.6e-05,-2.9e-04,2.3e-05,7.5e-05,-1.9e-05,3.4e-06
2.10,1.90,6.5e-06,-4.1e-06,-3.3e-08,-3.4e-06,-1.8e-06,8.1e-08,-4.3e-05,-3.2e-05,-2.6e-04,2.0e-05,6.8e-05,-1.7e-05,3.2e-06
2.10,2.00,5.9e-06,-3.8e-06,-2.7e-08,-3.0e-06,-1.6e-06,7.3e-08,-3.9e-05,-2.9e-05,-2.3e-04,1.8e-05,6.1e-05,-1.6e-05,3.0e-06
2.10,2.10,5.3e-06,-3.6e-06,-2.2e-08,-2.7e-06,-1.5e-06,6.6e-08,-3.5e-05,-2.6e-05,-2.1e-04,1.7e-05,5.5e-05,-1.5e-05,2.8e-06
2.10,2.20,4.8e-06,-3.4e-06,-1.8e-08,-2.5e-06,-1.3e-06,6.1e-08,-3.2e-05,-2.4e-05,-1.9e-04,1.5e-05,5.0e-05,-1.4e-05,2.7e-06
2.10,2.30,4.4e-06,-3.2e-06,-1.5e-08,-2.2e-06,-1.2e-06,5.5e-08,-2.9e-05,-2.2e-05,-1.7e-04,1.4e-05,4.6e-05,-1.3e-05,2.6e-06
2.10,2.40,4.1e-06,-3.1e-06,-1.3e-08,-2.1e-06,-1.1e-06,5.1e-08,-2.7e-05,-2.0e-05,-1.6e-04,1.3e-05,4.2e-05,-1.2e-05,2.4e-06
2.10,2.50,3.7e-06,-2.9e-06,-1.1e-08,-1.9e-06,-1.0e-06,4.7e-08,-2.5e-05,-1.8e-05,-1.5e-04,1.2e-05,3.9e-05,-1.1e-05,2.3e-06
2.10,2.60,3.5e-06,-2.7e-06,-8.7e-09,-1.7e-06,-9.6e-07,4.3e-08,-2.3e-05,-1.7e-05,-1.4e-04,1.1e-05,3.6e-05,-1.0e-05,2.2e-06
2.10,2.70,3.2e-06,-2.6e-06,-7.3e-09,-1.6e-06,-8.9e-07,4.0e-08,-2.1e-05,-1.5e-05,-1.3e-04,1.0e-05,3.3e-05,-9.7e-06,2.1e-06
2.20,0.30,2.6e-04,-1.1e-05,-5.6e-06,-2.6e-04,-7.2e-05,3.3e-06,-1.7e-03,-1.6e-03,-1.0e-02,8.2e-04,2.7e-03,-1.3e-04,4.4e-06
2.20,0.40,1.5e-04,-1.1e-05,-2.9e-06,-1.4e-04,-4.1e-05,1.8e-06,-9.7e-04,-9.0e-04,-5.8e-03,4.6e-04,1.5e-03,-1.0e-04,6.0e-06
2.20,0.50,9.4e-05,-9.9e-06,-1.7e-06,-8.3e-05,-2.6e-05,1.2e-06,-6.2e-04,-5.7e-04,-3.7e-03,2.9e-04,9.8e-04,-8.6e-05,6.4e-06
2.20,0.60,6.5e-05,-9.2e-06,-1.1e-06,-5.4e-05,-1.8e-05,8.1e-07,-4.3e-04,-3.9e-04,-2.6e-03,2.0e-04,6.8e-04,-7.2e-05,6.3e-06
2.20,0.70,4.8e-05,-8.6e-06,-7.3e-07,-3.8e-05,-1.3e-05,6.0e-07,-3.2e-04,-2.8e-04,-1.9e-03,1.5e-04,5.0e-04,-6.2e-05,6.1e-06
2.20,0.80,3.7e-05,-8.0e-06,-5.2e-07,-2.7e-05,-1.0e-05,4.6e-07,-2.4e-04,-2.1e-04,-1.4e-03,1.2e-04,3.8e-04,-5.4e-05,5.8e-06
2.20,0.90,2.9e-05,-7.4e-06,-3.7e-07,-2.1e-05,-8.0e-06,3.6e-07,-1.9e-04,-1.6e-04,-1.1e-03,9.1e-05,3.0e-04,-4.7e-05,5.5e-06
2.20,1.00,2.3e-05,-6.9e-06,-2.8e-07,-1.6e-05,-6.5e-06,2.9e-07,-1.5e-04,-1.3e-04,-9.3e-04,7.4e-05,2.4e-04,-4.1e-05,5.2e-06
2.20,1.10,1.9e-05,-6.5e-06,-2.1e-07,-1.3e-05,-5.4e-06,2.4e-07,-1.3e-04,-1.1e-04,-7.6e-04,6.1e-05,2.0e-04,-3.7e-05,4.9e-06
2.20,1.20,1.6e-05,-6.0e-06,-1.6e-07,-1.0e-05,-4.5e-06,2.0e-07,-1.1e-04,-8.8e-05,-6.4e-04,5.1e-05,1.7e-04,-3.3e-05,4.6e-06
2.20,1.30,1.4e-05,-5.6e-06,-1.3e-07,-8.4e-06,-3.9e-06,1.7e-07,-9.1e-05,-7.4e-05,-5.5e-04,4.4e-05,1.4e-04,-2.9e-05,4.4e-06
2.20,1.40,1.2e-05,-5.3e-06,-1.0e-07,-7.0e-06,-3.3e-06,1.5e-07,-7.9e-05,-6.3e-05,-4.7e-04,3.8e-05,1.2e-04,-2.6e-05,4.1e-06
2.20,1.50,1.0e-05,-5.0e-06,-8.0e-08,-6.0e-06,-2.9e-06,1.3e-07,-6.9e-05,-5.4e-05,-4.1e-04,3.3e-05,1.1e-04,-2.4e-05,3.9e-06
2.20,1.60,9.1e-06,-4.7e-06,-6.5e-08,-5.1e-06,-2.5e-06,1.1e-07,-6.0e-05,-4.7e-05,-3.6e-04,2.9e-05,9.5e-05,-2.2e-05,3.6e-06
2.20,1.70,8.1e-06,-4.4e-06,-5.3e-08,-4.4e-06,-2.3e-06,1.0e-07,-5.3e-05,-4.2e-05,-3.2e-04,2.5e-05,8.4e-05,-2.0e-05,3.4e-06
2.20,1.80,7.2e-06,-4.1e-06,-4.3e-08,-3.9e-06,-2.0e-06,9.0e-08,-4.8e-05,-3.7e-05,-2.9e-04,2.3e-05,7.5e-05,-1.8e-05,3.2e-06
2.20,1.90,6.5e-06,-3.9e-06,-3.5e-08,-3.4e-06,-1.8e-06,8.1e-08,-4.3e-05,-3.3e-05,-2.6e-04,2.0e-05,6.8e-05,-1.7e-05,3.1e-06
2.20,2.00,5.9e-06,-3.7e-06,-2.9e-08,-3.1e-06,-1.6e-06,7.3e-08,-3.9e-05,-2.9e-05,-2.3e-04,1.8e-05,6.1e-05,-1.6e-05,2.9e-06
2.20,2.10,5.3e-06,-3.5e-06,-2.4e-08,-2.7e-06,-1.5e-06,6.6e-08,-3.5e-05,-2.6e-05,-2.1e-04,1.7e-05,5.5e-05,-1.4e-05,2.7e-06
2.20,2.20,4.8e-06,-3.3e-06,-2.0e-08,-2.5e-06,-1.3e-06,6.1e-08,-3.2e-05,-2.4e-05,-1.9e-04,1.5e-05,5.0e-05,-1.3e-05,2.6e-06
2.20,2.30,4.4e-06,-3.1e-06,-1.7e-08,-2.3e-06,-1.2e-06,5.5e-08,-2.9e-05,-2.2e-05,-1.7e-04,1.4e-05,4.6e-05,-1.2e-05,2.5e-06
2.20,2.40,4.1e-06,-3.0e-06,-1.4e-08,-2.1e-06,-1.1e-06,5.1e-08,-2.7e-05,-2.0e-05,-1.6e-04,1.3e-05,4.2e-05,-1.2e-05,2.3e-06
2.20,2.50,3.7e-06,-2.8e-06,-1.2e-08,-1.9e-06,-1.0e-06,4.7e-08,-2.5e-05,-1.8e-05,-1.5e-04,1.2e-05,3.9e-05,-1.1e-05,2.2e-06
2.20,2.60,3.5e-06,-2.7e-06,-9.9e-09,-1.7e-06,-9.6e-07,4.3e-08,-2.3e-05,-1.7e-05,-1.4e-04,1.1e-05,3.6e-05,-1.0e-05,2.1e-06
2.20,2.70,3.2e-06,-2.5e-06,-8.3e-09,-1.6e-06,-8.9e-07,4.0e-08,-2.1e-05,-1.5e-05,-1.3e-04,1.0e-05,3.3e-05,-9.6e-06,2.0e-06
2.30,0.30,2.6e-04,-1.1e-05,-5.6e-06,-2.6e-04,-7.2e-05,3.3e-06,-1.7e-03,-1.6e-03,-1.0e-02,8.2e-04,2.7e-03,-1.2e-04,3.7e-06
2.30,0.40,1.5e-04,-9.9e-06,-2.9e-06,-1.4e-04,-4.1e-05,1.8e-06,-9.7e-04,-9.1e-04,-5.8e-03,4.6e-04,1.5e-03,-9.9e-05,5.3e-06
2.30,0.50,9.4e-05,-9.2e-06,-1.7e-06,-8.4e-05,-2.6e-05,1.2e-06,-6.2e-04,-5.7e-04,-3.7e-03,2.9e-04,9.8e-04,-8.2e-05,5.8e-06
2.30,0.60,6.5e-05,-8.6e-06,-1.1e-06,-5.5e-05,-1.8e-05,8.1e-07,-4.3e-04,-3.9e-04,-2.6e-03,2.0e-04,6.8e-04,-6.9e-05,5.8e-06
2.30,0.70,4.8e-05,-8.0e-06,-7.5e-07,-3.8e-05,-1.3e-05,6.0e-07,-3.2e-04,-2.8e-04,-1.9e-03,1.5e-04,5.0e-04,-5.9e-05,5.7e-06
2.30,0.80,3.7e-05,-7.5e-06,-5.3e-07,-2.8e-05,-1.0e-05,4.6e-07,-2.4e-04,-2.1e-04,-1.4e-03,1.2e-04,3.8e-04,-5.1e-05,5.4e-06
2.30,0.90,2.9e-05,-7.0e-06,-3.9e-07,-2.1e-05,-8.0e-06,3.6e-07,-1.9e-04,-1.6e-04,-1.1e-03,9.1e-05,3.0e-04,-4.5e-05,5.2e-06
2.30,1.00,2.3e-05,-6.5e-06,-2.9e-07,-1.6e-05,-6.5e-06,2.9e-07,-1.5e-04,-1.3e-04,-9.3e-04,7.4e-05,2.4e-04,-4.0e-05,4.9e-06
2.30,1.10,1.9e-05,-6.1e-06,-2.2e-07,-1.3e-05,-5.4e-06,2.4e-07,-1.3e-04,-1.1e-04,-7.6e-04,6.1e-05,2.0e-04,-3.5e-05,4.6e-06
2.30,1.20,1.6e-05,-5.7e-06,-1.7e-07,-1.0e-05,-4.5e-06,2.0e-07,-1.1e-04,-8.8e-05,-6.4e-04,5.1e-05,1.7e-04,-3.2e-05,4.4e-06
2.30,1.30,1.4e-05,-5.4e-06,-1.3e-07,-8.6e-06,-3.9e-06,1.7e-07,-9.1e-05,-7.4e-05,-5.5e-04,4.4e-05,1.4e-04,-2.9e-05,4.1e-06
2.30,1.40,1.2e-05,-5.0e-06,-1.1e-07,-7.2e-06,-3.3e-06,1.5e-07,-7.9e-05,-6.3e-05,-4.7e-04,3.8e-05,1.2e-04,-2.6e-05,3.9e-06
2.30,1.50,1.0e-05,-4.7e-06,-8.5e-08,-6.1e-06,-2.9e-06,1.3e-07,-6.9e-05,-5.5e-05,-4.1e-04,3.3e-05,1.1e-04,-2.3e-05,3.7e-06
2.30,1.60,9.1e-06,-4.5e-06,-6.9e-08,-5.2e-06,-2.5e-06,1.1e-07,-6.0e-05,-4.8e-05,-3.6e-04,2.9e-05,9.5e-05,-2.1e-05,3.5e-06
2.30,1.70,8.1e-06,-4.2e-06,-5.6e-08,-4.5e-06,-2.3e-06,1.0e-07,-5.3e-05,-4.2e-05,-3.2e-04,2.5e-05,8.4e-05,-2.0e-05,3.3e-06
2.30,1.80,7.2e-06,-4.0e-06,-4.6e-08,-3.9e-06,-2.0e-06,9.0e-08,-4.8e-05,-3.7e-05,-2.9e-04,2.3e-05,7.5e-05,-1.8e-05,3.1e-06
2.30,1.90,6.5e-06,-3.7e-06,-3.8e-08,-3.5e-06,-1.8e-06,8.1e-08,-4.3e-05,-3.3e-05,-2.6e-04,2.0e-05,6.8e-05,-1.7e-05,2.9e-06
2.30,2.00,5.9e-06,-3.5e-06,-3.2e-08,-3.1e-06,-1.6e-06,7.3e-08,-3.9e-05,-2.9e-05,-2.3e-04,1.8e-05,6.1e-05,-1.5e-05,2.8e-06
2.30,2.10,5.3e-06,-3.3e-06,-2.6e-08,-2.8e-06,-1.5e-06,6.6e-08,-3.5e-05,-2.7e-05,-2.1e-04,1.7e-05,5.5e-05,-1.4e-05,2.6e-06
2.30,2.20,4.8e-06,-3.2e-06,-2.2e-08,-2.5e-06,-1.3e-06,6.1e-08,-3.2e-05,-2.4e-05,-1.9e-04,1.5e-05,5.0e-05,-1.3e-05,2.5e-06
